GO_term1	GO_term2	similarity
GO:0007165	GO:0007165	0.497
GO:0007166	GO:0007166	0.49
GO:0008543	GO:0008543	0.525
GO:0007212	GO:0007212	0.515
GO:0007169	GO:0007169	0.537
GO:0048011	GO:0048011	0.51
GO:0008628	GO:0008628	0.473
GO:0007210	GO:0007210	0.515
GO:0038170	GO:0038170	0.488
GO:0038084	GO:0038084	0.486
GO:0038161	GO:0038161	0.511
GO:0007167	GO:0007167	0.502
GO:0033210	GO:0033210	0.472
GO:0033211	GO:0033211	0.511
GO:0040036	GO:0040036	0.472
GO:0038109	GO:0038109	0.477
GO:0009756	GO:0009756	0.507
GO:0002154	GO:0002154	0.502
GO:0019722	GO:0019722	0.826
GO:0007186	GO:0007186	0.815
GO:0045744	GO:0045744	0.495
GO:0050853	GO:0050853	0.489
GO:0007173	GO:0007173	0.592
GO:0038127	GO:0038127	0.627
GO:0038133	GO:0038133	0.527
GO:0070371	GO:0070371	0.826
GO:0048009	GO:0048009	0.627
GO:0061514	GO:0061514	0.568
GO:0000165	GO:0000165	0.902
GO:0032872	GO:0032872	0.529
GO:0051403	GO:0051403	0.718
GO:0050852	GO:0050852	0.489
GO:0070498	GO:0070498	0.515
GO:1904262	GO:1904262	0.509
GO:0070374	GO:0070374	0.509
GO:0042770	GO:0042770	0.784
GO:0048013	GO:0048013	0.627
GO:0030522	GO:0030522	0.815
GO:0045879	GO:0045879	0.48
GO:0007265	GO:0007265	0.826
GO:0007224	GO:0007224	0.736
GO:0043123	GO:0043123	0.55
GO:0001836	GO:0001836	0.568
GO:0007219	GO:0007219	0.736
GO:0008631	GO:0008631	0.578
GO:0007193	GO:0007193	0.674
GO:0007187	GO:0007187	0.736
GO:0010754	GO:0010754	0.521
GO:0070373	GO:0070373	0.509
GO:0007266	GO:0007266	0.769
GO:0008630	GO:0008630	0.648
GO:0042771	GO:0042771	0.582
GO:0007189	GO:0007189	0.674
GO:0019221	GO:0019221	0.586
GO:0050850	GO:0050850	0.533
GO:0070372	GO:0070372	0.625
GO:1901798	GO:1901798	0.55
GO:0043410	GO:0043410	0.55
GO:0007229	GO:0007229	0.736
GO:0007267	GO:0007267	0.477
GO:0007188	GO:0007188	0.736
GO:0019934	GO:0019934	0.769
GO:0043516	GO:0043516	0.512
GO:1901796	GO:1901796	0.678
GO:1902533	GO:1902533	0.605
GO:0007213	GO:0007213	0.513
GO:0060070	GO:0060070	0.584
GO:0060506	GO:0060506	0.469
GO:0009966	GO:0009966	0.693
GO:0045880	GO:0045880	0.48
GO:0060828	GO:0060828	0.508
GO:2000050	GO:2000050	0.508
GO:0016055	GO:0016055	0.61
GO:0051897	GO:0051897	0.55
GO:0030968	GO:0030968	0.574
GO:0006983	GO:0006983	0.589
GO:0097191	GO:0097191	0.627
GO:0097192	GO:0097192	0.594
GO:0032007	GO:0032007	0.55
GO:1903940	GO:1903940	0.509
GO:0051056	GO:0051056	0.678
GO:1902532	GO:1902532	0.605
GO:0035235	GO:0035235	0.674
GO:0007215	GO:0007215	0.736
GO:0030330	GO:0030330	0.699
GO:0032482	GO:0032482	0.769
GO:0007264	GO:0007264	0.902
GO:0048385	GO:0048385	0.592
GO:1902531	GO:1902531	0.75
GO:0002429	GO:0002429	0.478
GO:0070059	GO:0070059	0.648
GO:0007249	GO:0007249	0.902
GO:1901222	GO:1901222	0.678
GO:1990806	GO:1990806	0.815
GO:0070493	GO:0070493	0.736
GO:0032006	GO:0032006	0.678
GO:0007254	GO:0007254	0.694
GO:0038061	GO:0038061	0.902
GO:0023019	GO:0023019	0.646
GO:0033209	GO:0033209	0.515
GO:0043124	GO:0043124	0.55
GO:0045746	GO:0045746	0.48
GO:0070427	GO:0070427	0.684
GO:0070431	GO:0070431	0.684
GO:0034142	GO:0034142	0.674
GO:0043122	GO:0043122	0.678
GO:0002224	GO:0002224	0.736
GO:0097190	GO:0097190	0.714
GO:0043491	GO:0043491	0.902
GO:0036498	GO:0036498	0.561
GO:0051898	GO:0051898	0.55
GO:0009968	GO:0009968	0.553
GO:0035791	GO:0035791	0.592
GO:1902202	GO:1902202	0.567
GO:0042058	GO:0042058	0.524
GO:0051896	GO:0051896	0.678
GO:0043409	GO:0043409	0.55
GO:0007185	GO:0007185	0.674
GO:0048008	GO:0048008	0.627
GO:0038128	GO:0038128	0.592
GO:0031929	GO:0031929	0.902
GO:0038202	GO:0038202	0.826
GO:0098990	GO:0098990	0.627
GO:0035331	GO:0035331	0.55
GO:0097193	GO:0097193	0.769
GO:0072332	GO:0072332	0.689
GO:1990144	GO:1990144	0.543
GO:1902253	GO:1902253	0.489
GO:0072331	GO:0072331	0.902
GO:1904263	GO:1904263	0.509
GO:0023041	GO:0023041	0.815
GO:0038060	GO:0038060	0.683
GO:0099565	GO:0099565	0.496
GO:0071875	GO:0071875	0.736
GO:0097314	GO:0097314	0.541
GO:0007218	GO:0007218	0.736
GO:0010753	GO:0010753	0.521
GO:0007168	GO:0007168	0.674
GO:0032008	GO:0032008	0.55
GO:0071880	GO:0071880	0.601
GO:0043567	GO:0043567	0.567
GO:0048384	GO:0048384	0.736
GO:0048386	GO:0048386	0.48
GO:0030520	GO:0030520	0.499
GO:1901223	GO:1901223	0.55
GO:0061762	GO:0061762	0.754
GO:0008593	GO:0008593	0.592
GO:1904893	GO:1904893	0.48
GO:0035357	GO:0035357	0.736
GO:0036499	GO:0036499	0.499
GO:0001973	GO:0001973	0.621
GO:0035589	GO:0035589	0.674
GO:0007200	GO:0007200	0.736
GO:0035025	GO:0035025	0.479
GO:0035023	GO:0035023	0.586
GO:0038026	GO:0038026	0.736
GO:0035860	GO:0035860	0.627
GO:0009967	GO:0009967	0.553
GO:0014722	GO:0014722	0.534
GO:0008627	GO:0008627	0.536
GO:0030518	GO:0030518	0.498
GO:0034121	GO:0034121	0.556
GO:0043401	GO:0043401	0.485
GO:0046579	GO:0046579	0.509
GO:1901797	GO:1901797	0.55
GO:0035332	GO:0035332	0.55
GO:0090663	GO:0090663	0.674
GO:1904515	GO:1904515	0.509
GO:0038134	GO:0038134	0.527
GO:0046425	GO:0046425	0.541
GO:0048387	GO:0048387	0.48
GO:0140507	GO:0140507	0.735
GO:0060395	GO:0060395	0.714
GO:0035360	GO:0035360	0.48
GO:0010469	GO:0010469	0.626
GO:0038195	GO:0038195	0.736
GO:2001233	GO:2001233	0.51
GO:0097720	GO:0097720	0.769
GO:0033173	GO:0033173	0.683
GO:0095500	GO:0095500	0.507
GO:0007207	GO:0007207	0.485
GO:0070528	GO:0070528	0.902
GO:0090037	GO:0090037	0.55
GO:0030947	GO:0030947	0.484
GO:0038180	GO:0038180	0.486
GO:0043408	GO:0043408	0.678
GO:0070098	GO:0070098	0.515
GO:0007191	GO:0007191	0.48
GO:0007195	GO:0007195	0.48
GO:0007192	GO:0007192	0.48
GO:0038003	GO:0038003	0.736
GO:0080135	GO:0080135	0.495
GO:0071881	GO:0071881	0.601
GO:0071882	GO:0071882	0.629
GO:0007199	GO:0007199	0.674
GO:0098989	GO:0098989	0.627
GO:1901224	GO:1901224	0.55
GO:0030111	GO:0030111	0.544
GO:0002430	GO:0002430	0.484
GO:0045745	GO:0045745	0.495
GO:0038178	GO:0038178	0.537
GO:0038119	GO:0038119	0.479
GO:0035022	GO:0035022	0.479
GO:0032489	GO:0032489	0.558
GO:0038120	GO:0038120	0.479
GO:0038116	GO:0038116	0.513
GO:0007259	GO:0007259	0.674
GO:1900451	GO:1900451	0.48
GO:0007197	GO:0007197	0.468
GO:0038063	GO:0038063	0.601
GO:0038146	GO:0038146	0.513
GO:0038160	GO:0038160	0.479
GO:0032487	GO:0032487	0.586
GO:0038112	GO:0038112	0.515
GO:0060158	GO:0060158	0.491
GO:0010737	GO:0010737	0.902
GO:0007214	GO:0007214	0.736
GO:0007603	GO:0007603	0.561
GO:0007216	GO:0007216	0.659
GO:0007196	GO:0007196	0.558
